country,state,device,browser
United States,California,desktop,Chrome
United States,Indiana,desktop,Internet Explorer
Norway,Unknown,desktop,Chrome
United States,Unknown,tablet,Mobile Safari
United States,Indiana,desktop,Internet Explorer
United States,Indiana,desktop,Internet Explorer
China,Unknown,Unknown,Unknown
United States,Colorado,desktop,Chrome
United States,Missouri,desktop,Firefox
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Iowa,desktop,Internet Explorer
United States,California,desktop,Chrome
United States,California,desktop,Chrome
United States,Unknown,smartphone,Chrome Webview
United States,California,desktop,Chrome
United States,Michigan,desktop,Firefox
United States,Indiana,desktop,Internet Explorer
United States,Washington,Unknown,Unknown
Russia,Moscow,Unknown,Unknown
United States,California,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Washington,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,California,desktop,Chrome
United States,Washington,Unknown,Unknown
United States,Washington,Unknown,Unknown
United States,Washington,Unknown,Unknown
United States,Iowa,desktop,Internet Explorer
United States,Unknown,Unknown,Unknown
United States,New Hampshire,desktop,Internet Explorer
United States,New Hampshire,desktop,Internet Explorer
United States,Unknown,desktop,Internet Explorer
United States,Texas,Unknown,Unknown
United States,Unknown,desktop,Internet Explorer
United States,Unknown,desktop,Chrome
United States,Unknown,smartphone,Chrome Webview
United States,Pennsylvania,desktop,Chrome
United States,Pennsylvania,desktop,Chrome
United States,Unknown,Unknown,Unknown
United States,Iowa,desktop,Internet Explorer
Russia,Moscow,Unknown,Unknown
United States,Pennsylvania,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Unknown,desktop,Internet Explorer
United States,Pennsylvania,desktop,Chrome
United States,Washington,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Oregon,Unknown,Unknown
United States,California,desktop,Chrome
United States,California,desktop,Chrome
United States,Unknown,desktop,Internet Explorer
United States,California,desktop,Chrome
United States,Tennessee,desktop,Internet Explorer
United States,New Hampshire,desktop,Internet Explorer
United States,Washington,Unknown,Unknown
United States,Washington,Unknown,Unknown
Germany,Baden-Wurttemberg,desktop,Firefox
United States,Tennessee,desktop,Internet Explorer
United States,Washington,Unknown,Unknown
United States,Tennessee,desktop,Internet Explorer
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Unknown,desktop,Internet Explorer
United States,Connecticut,desktop,Chrome
United States,New Hampshire,desktop,Internet Explorer
United States,Michigan,desktop,Chrome
United States,Tennessee,desktop,Internet Explorer
United States,Tennessee,desktop,Safari
United States,Unknown,desktop,Internet Explorer
United States,Unknown,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,New York,desktop,Safari
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Washington,Unknown,Unknown
United States,Oregon,desktop,Chrome
United States,Oregon,desktop,Chrome
United States,Oregon,desktop,Chrome
United States,Oregon,desktop,Chrome
United States,Michigan,desktop,Chrome
United States,Unknown,smartphone,Mobile Safari
United States,Unknown,desktop,Internet Explorer
United States,Connecticut,desktop,Chrome
United States,Texas,desktop,Chrome
United States,New York,desktop,Safari
United States,Florida,desktop,Safari
United States,Unknown,Unknown,Unknown
United States,Florida,desktop,Safari
United States,Texas,desktop,Internet Explorer
United States,Connecticut,desktop,Chrome
United States,Unknown,desktop,Internet Explorer
United States,Unknown,desktop,Internet Explorer
United States,Tennessee,desktop,Internet Explorer
United States,New York,desktop,Safari
United States,Unknown,desktop,Internet Explorer
United States,Michigan,desktop,Firefox
United States,Unknown,desktop,Safari
United States,Unknown,Unknown,Unknown
United States,Oregon,desktop,Chrome
United States,Florida,desktop,Safari
United States,Oregon,desktop,Chrome
Russia,Moscow,Unknown,Unknown
United States,Unknown,desktop,Safari
United States,Florida,desktop,Safari
United States,Oregon,desktop,Chrome
United States,Unknown,Unknown,Unknown
United States,Texas,desktop,Internet Explorer
United States,Unknown,Unknown,Unknown
United States,Oregon,desktop,Chrome
United States,North Carolina,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Unknown,desktop,Safari
United States,North Carolina,Unknown,Unknown
United States,Florida,desktop,Safari
United States,Unknown,Unknown,Unknown
United States,Pennsylvania,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Unknown,desktop,Chrome
Russia,Moscow,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Texas,desktop,Internet Explorer
United States,Unknown,Unknown,Unknown
United States,Rhode Island,smartphone,Samsung Browser
United States,Unknown,Unknown,Unknown
United States,Washington,Unknown,Unknown
United States,Iowa,desktop,Internet Explorer
United States,Texas,desktop,Internet Explorer
United States,Washington,Unknown,Unknown
United States,New York,desktop,Chrome
United States,Indiana,desktop,Internet Explorer
United States,Connecticut,desktop,Chrome
United States,Unknown,Unknown,Unknown
Poland,Unknown,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Unknown,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Texas,desktop,Internet Explorer
China,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,New York,desktop,Chrome
United States,Connecticut,desktop,Chrome
China,Unknown,Unknown,Unknown
United States,Connecticut,desktop,Chrome
France,Unknown,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Washington,Unknown,Unknown
United States,Washington,Unknown,Unknown
United States,Florida,tablet,Google Search App
United States,Unknown,Unknown,Unknown
United States,Washington,Unknown,Unknown
United States,Texas,smartphone,Chrome Webview
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Pennsylvania,desktop,Chrome
United States,Pennsylvania,desktop,Chrome
United States,Pennsylvania,desktop,Chrome
United States,New York,desktop,Microsoft Outlook
United States,Pennsylvania,desktop,Chrome
United States,District of Columbia,desktop,Firefox
United States,Virginia,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,District of Columbia,desktop,Firefox
United States,New York,desktop,Chrome
United States,Florida,tablet,Google Search App
United States,Unknown,Unknown,Unknown
United States,District of Columbia,desktop,Firefox
United States,North Carolina,Unknown,Unknown
United States,Tennessee,desktop,Safari
France,Unknown,desktop,Firefox
United States,California,desktop,Chrome
United States,District of Columbia,desktop,Firefox
United States,Connecticut,desktop,Chrome
United States,Florida,tablet,Google Search App
United States,Pennsylvania,tablet,Mobile Safari
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Pennsylvania,tablet,Mobile Safari
United States,Connecticut,desktop,Chrome
United States,Florida,tablet,Google Search App
United States,Connecticut,desktop,Chrome
United States,California,desktop,Chrome
United States,California,desktop,Chrome
United States,Unknown,desktop,Internet Explorer
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Texas,desktop,Internet Explorer
United States,New York,desktop,Chrome
United States,Texas,desktop,Internet Explorer
United States,California,desktop,Chrome
France,Unknown,Unknown,Unknown
United States,Pennsylvania,desktop,Chrome
United States,Pennsylvania,desktop,Chrome
United States,Unknown,desktop,Chrome
United States,Unknown,desktop,Internet Explorer
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Unknown,Unknown,Unknown
United States,Washington,Unknown,Unknown
United States,Pennsylvania,desktop,Chrome
United States,Unknown,desktop,Internet Explorer
United States,Indiana,desktop,Internet Explorer
United States,Washington,Unknown,curl
United States,Pennsylvania,desktop,Chrome
United States,California,desktop,Chrome
Romania,Suceava,desktop,Chrome
United States,Pennsylvania,desktop,Chrome
Russia,Moscow,Unknown,Unknown
United States,Washington,Unknown,Unknown
Romania,Suceava,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Washington,Unknown,Unknown
United States,Pennsylvania,desktop,Chrome
United States,Unknown,desktop,Internet Explorer
Czechia,Hlavni mesto Praha,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Unknown,desktop,Internet Explorer
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Washington,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Unknown,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
Romania,Suceava,desktop,Chrome
United States,North Carolina,desktop,Internet Explorer
United States,North Carolina,desktop,Internet Explorer
United States,Unknown,desktop,Chrome
United States,New Jersey,desktop,Firefox
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Unknown,Unknown,Unknown
United States,Unknown,desktop,Chrome
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Washington,Unknown,Unknown
United States,Connecticut,desktop,Chrome
Russia,Unknown,desktop,Internet Explorer
United States,Unknown,Unknown,Unknown
United States,California,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Washington,Unknown,Unknown
Russia,Unknown,desktop,Internet Explorer
United States,California,desktop,Chrome
United States,California,desktop,Chrome
United States,New York,desktop,Safari
United States,California,desktop,Chrome
United States,Washington,Unknown,Unknown
Germany,Baden-Wurttemberg,desktop,Firefox
Russia,Unknown,desktop,Internet Explorer
United States,California,desktop,Chrome
United States,Unknown,Unknown,Unknown
United States,California,desktop,Chrome
United States,Pennsylvania,smartphone,Facebook
Germany,Baden-Wurttemberg,desktop,Firefox
United States,Connecticut,desktop,Chrome
Germany,Baden-Wurttemberg,desktop,Firefox
United States,Connecticut,desktop,Chrome
United States,New Jersey,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
Russia,Unknown,desktop,Internet Explorer
United States,Connecticut,desktop,Chrome
United States,Illinois,smartphone,Chrome Webview
Russia,Unknown,desktop,Internet Explorer
Russia,Unknown,desktop,Internet Explorer
United States,North Carolina,desktop,Internet Explorer
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,North Carolina,desktop,Internet Explorer
United States,Unknown,tablet,Chrome Webview
United States,Oregon,desktop,Chrome
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Connecticut,desktop,Chrome
China,Unknown,Unknown,Unknown
United States,Connecticut,desktop,Chrome
Russia,Moscow,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Ohio,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
France,Unknown,Unknown,Unknown
United States,Virginia,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Indiana,tablet,Android Browser
United States,Missouri,desktop,Internet Explorer
United States,Unknown,Unknown,Unknown
United States,California,desktop,Firefox
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,California,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Unknown,desktop,Internet Explorer
United States,Missouri,desktop,Internet Explorer
United States,Unknown,desktop,Internet Explorer
United States,Unknown,desktop,Internet Explorer
United States,Unknown,Unknown,Unknown
United States,Unknown,desktop,Internet Explorer
United States,Unknown,Unknown,Unknown
Russia,Moscow,Unknown,Unknown
United States,Connecticut,desktop,Chrome
United States,Unknown,tablet,Chrome Webview
United States,Illinois,desktop,Internet Explorer
United States,Connecticut,desktop,Chrome
United States,Florida,phablet,Chrome Webview
United States,New York,smartphone,Chrome Mobile
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
Ireland,Leinster,Unknown,Unknown
United States,Indiana,tablet,Android Browser
United States,Unknown,desktop,Internet Explorer
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Connecticut,desktop,Chrome
United States,Illinois,desktop,Internet Explorer
United States,Ohio,desktop,Chrome
United States,New York,desktop,Chrome
United States,Illinois,desktop,Internet Explorer
United States,Unknown,desktop,Chrome
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Unknown,Unknown,Unknown
United States,Illinois,desktop,Internet Explorer
